HFDHAJOI_04917	27f2a8cfb6fcd9cea699cc69c7c88200	151	Pfam	PF12957	Domain of unknown function (DUF3846)	6	92	1.6E-6	T	07-05-2025	IPR024559	Domain of unknown function DUF3846	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	PANTHER	PTHR30050	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA	39	223	5.0E-28	T	07-05-2025	-	-	GO:0006260(PANTHER)	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	SMART	SM00382	AAA_5	101	238	3.8E-10	T	07-05-2025	IPR003593	AAA+ ATPase domain	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	Pfam	PF01695	IstB-like ATP binding protein	14	247	8.6E-77	T	07-05-2025	IPR002611	IstB-like ATP-binding domain	GO:0005524(InterPro)	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	MobiDBLite	mobidb-lite	consensus disorder prediction	243	270	-	T	07-05-2025	-	-	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	Gene3D	G3DSA:3.40.50.300	-	65	252	3.6E-42	T	07-05-2025	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	PIRSF	PIRSF003073	DNAC_TnpB_IstB	3	257	1.2E-73	T	07-05-2025	IPR028350	DNA replication protein DnaC/insertion sequence IstB-like	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	70	234	4.74E-24	T	07-05-2025	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	CDD	cd00009	AAA	86	233	7.55132E-12	T	07-05-2025	-	-	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	MobiDBLite	mobidb-lite	consensus disorder prediction	261	270	-	T	07-05-2025	-	-	-	-
HFDHAJOI_04980	35c8290ddc6e8209339ab130e9a391db	270	NCBIfam	NF038214	IS21-like element helper ATPase IstB	14	245	2.1E-81	T	07-05-2025	IPR047661	Insertion sequence IS21-like ATPase IstB	-	-
HFDHAJOI_05000	10d6e8b4b32ca8ebe1b05fe71845a6f9	226	PANTHER	PTHR36435	SLR1288 PROTEIN	76	217	5.2E-13	T	07-05-2025	IPR052710	CAAX motif-specific protease	-	-
HFDHAJOI_05000	10d6e8b4b32ca8ebe1b05fe71845a6f9	226	Pfam	PF02517	Type II CAAX prenyl endopeptidase Rce1-like	131	216	2.9E-16	T	07-05-2025	IPR003675	CAAX prenyl protease 2/Lysostaphin resistance protein A-like domain	-	-
HFDHAJOI_04928	78edb6137109112d146d6b57034cab3a	387	PANTHER	PTHR46663	DIGUANYLATE CYCLASE DGCT-RELATED	199	380	1.6E-42	T	07-05-2025	IPR052163	Diguanylate Cyclase/Regulatory Protein	-	-
HFDHAJOI_04928	78edb6137109112d146d6b57034cab3a	387	Pfam	PF00990	Diguanylate cyclase, GGDEF domain	209	361	1.1E-28	T	07-05-2025	IPR000160	GGDEF domain	-	-
